word_order,lin_ptcl_order,synt_ptcl_priority,reading,synt.lin_alignment,synt.sem_alignment,lin.sem_alignment,ид,ди,тд,дт,ит,ти,item,value
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,1,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,1,6
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,1,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,2,4
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,2,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,3,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,3,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,3,6
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,4,2
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,4,4
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,4,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,4,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,5,1
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,5,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,5,6
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,5,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,6,6
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,6,7
SVO,ит,ит,ит,yes,yes,yes,NA,NA,NA,NA,1,NA,6,4
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,1,6
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,1,6
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,1,2
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,1,1
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,2,5
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,2,7
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,2,2
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,3,4
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,3,1
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,3,7
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,3,6
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,4,4
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,4,3
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,4,7
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,5,2
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,5,7
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,6,1
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,6,6
SVO,ит,ит,ти,yes,no,no,NA,NA,NA,NA,1,NA,6,5
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,1,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,1,6
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,1,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,2,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,2,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,2,5
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,3,6
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,3,4
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,3,6
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,4,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,4,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,4,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,5,2
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,5,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,5,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,5,7
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,6,5
SVO,ти,ти,ти,yes,yes,yes,NA,NA,NA,NA,1,NA,6,7
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,1,5
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,1,6
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,1,7
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,2,2
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,2,7
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,2,5
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,2,7
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,3,6
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,3,3
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,3,7
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,4,3
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,4,1
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,4,7
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,5,6
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,5,4
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,5,5
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,6,7
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,6,1
SVO,ти,ти,ит,yes,no,no,NA,NA,NA,NA,1,NA,6,3
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,1,7
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,1,1
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,1,6
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,1,4
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,2,7
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,2,3
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,2,7
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,3,7
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,3,7
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,3,7
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,4,7
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,4,7
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,4,1
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,5,6
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,6,1
OVS,ит,ти,ит,no,no,yes,NA,NA,NA,NA,NA,1,6,3
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,1,6
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,1,7
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,1,6
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,1,7
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,2,7
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,2,4
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,3,5
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,3,5
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,3,5
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,4,7
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,4,1
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,4,1
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,5,7
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,5,5
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,5,6
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,6,7
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,6,2
OVS,ит,ти,ти,no,yes,no,NA,NA,NA,NA,NA,1,6,7
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,1,6
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,1,1
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,1,1
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,2,6
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,3,5
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,3,7
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,3,5
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,4,7
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,4,7
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,4,5
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,5,1
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,5,3
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,5,1
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,6,5
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,6,7
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,6,6
OVS,ти,ит,ти,no,no,yes,NA,NA,NA,NA,1,NA,6,1
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,1,7
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,1,4
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,2,7
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,2,3
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,2,7
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,3,1
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,3,2
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,3,1
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,4,4
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,4,4
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,4,7
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,5,5
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,5,1
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,5,6
OVS,ти,ит,ит,no,yes,no,NA,NA,NA,NA,1,NA,6,6
