word_order,lin_ptcl_order,synt_ptcl_priority,reading,synt.lin_alignment,synt.sem_alignment,lin.sem_alignment,ид,ди,тд,дт,ит,ти,item,value
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,1,7
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,1,7
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,1,5
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,2,4
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,2,4
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,2,6
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,3,7
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,3,1
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,3,4
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,4,1
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,4,1
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,5,6
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,5,7
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,6,5
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,6,4
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,7,3
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,8,1
SVO,тд,тд,тд,yes,yes,yes,NA,NA,1,NA,NA,NA,8,7
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,1,1
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,1,1
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,1,6
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,2,6
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,2,1
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,2,4
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,3,4
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,3,1
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,4,4
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,4,6
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,4,7
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,5,1
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,5,7
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,6,5
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,6,4
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,6,4
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,7,1
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,7,7
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,7,2
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,8,2
SVO,тд,тд,дт,yes,no,no,NA,NA,1,NA,NA,NA,8,1
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,1,5
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,1,7
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,1,1
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,2,6
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,2,7
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,2,1
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,3,6
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,3,7
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,3,1
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,4,7
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,4,1
SVO,дт,дт,дт,yes,yes,yes,NA,NA,NA,1,NA,NA,4,6
